X,NP,experiment,sub.experiment,frt,srichness,pevenness,isimpson,cvar_C,cvar_R,cvar_L,idisp_C,idisp_R,idisp_L,fd_rich,fd_div,fd_reg
0,10,RU,ru,4.02014592602415,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,RU,ru,2.99193339986052,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,RU,ru,7.88208090181822,4,0.466162403450308,1.45167200941929,0.409745573580222,0.683238595311618,0.898878272828544,10.2777680077348,0.16501909476662,0.281581779053085,0.472982248331975,1.47531422836048,0.0880523863093327
3,10,RU,ru,3.00365384747224,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,RU,ru,5.0350817744177,2,0.974865780723017,1.93303837645475,0.507823114344568,0.735642661804922,0.41497975708502,5.88414642591051,0.296831814038286,0.0850708502024291,0.782948202016059,1.16681797428702,0.166825794679708
5,10,RU,ru,3.00152758355255,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10,RU,ru,4.01137634850757,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10,RU,ru,2.99056021543124,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10,RU,ru,67.8365730560903,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,RU,ru,5.02494292984025,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,RU,ru,10.9770068871351,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10,RU,ru,3.98963554331971,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10,RU,ru,7.10404668011852,3,0.846016848266945,2.20275162925416,0.58358280438637,0.388098170739416,0.196126311820154,18.6086841264031,0.0825900709219858,0.0089881122206371,0.199747502906098,1.3961131810567,0.192693009056622
13,10,RU,ru,2.99750875203565,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10,RU,ru,3.989774497405,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10,RU,ru,4.95943853937247,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10,RU,ru,5.96660135404989,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,10,RU,ru,4.03265208518524,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,10,RU,ru,5.00319100086071,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,10,RU,ru,33.4198310789397,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,RU,ru,2.98919749034843,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10,RU,ru,4.00089579987154,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,10,RU,ru,3.01438250280142,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,10,RU,ru,4.04096126487467,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,10,RU,ru,2.99598045148893,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,10,RU,ru,4.01818187567689,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,10,RU,ru,4.99005812615366,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,10,RU,ru,25.2905057425511,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,10,RU,ru,6.96460544138177,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,10,RU,ru,12.0371158247817,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,10,RU,ru,3.00679423920857,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,10,RU,ru,3.00320423508872,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,10,RU,ru,2.99968637800504,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10,RU,ru,22.939588646867,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,10,RU,ru,3.99870833605104,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10,RU,ru,3.97728697532443,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,10,RU,ru,5.97922560671255,3,0.734944472253829,1.86576980568012,0.638428985153366,0.397677473606005,0.595543305805489,21.1363401341304,0.100950739773716,0.188567189132706,1.01753803489554,1.49555352168258,0.226174143904631
37,10,RU,ru,2.98986480338861,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,10,RU,ru,3.00649001865971,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,10,RU,ru,5.03620935967458,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,10,RU,ru,16.0276471697973,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,10,RU,ru,4.00629719665851,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,10,RU,ru,3.96934782974884,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,10,RU,ru,3.00080875639484,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,10,RU,ru,3.00007765338614,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,10,RU,ru,4.99261013451898,2,0.583675328023911,1.3166387578018,0.736264626098223,0.19946452476573,0.493193717277487,20.0834583383943,0.0148601070950469,0.116147120418848,0.0519209869728836,1.12528340810949,0.0046352572721196
46,10,RU,ru,11.7636591774311,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,10,RU,ru,2.99303750792645,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,10,RU,ru,7.09114784441494,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,10,RU,ru,3.00960883484998,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,10,RU,ru,5.00781238194496,2,0.999890052454552,1.99969521487351,0.683101654846336,0.150127226463104,0.457202505219207,12.3364743356974,0.0177150127226463,0.100127348643006,0.393958739640488,1.34148510507535,0.0150795434400002
51,10,RU,ru,5.00971375308892,2,0.694446070493981,1.43604799591524,0.506731018734755,0.488372093023256,0.465698143664245,12.3695575328247,0.0358953488372093,0.134353914447135,0.167770752859672,1.26262675990725,0.292158014878715
52,10,RU,ru,4.00511708066143,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,10,RU,ru,3.00376727473892,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,10,RU,ru,2.99727011784515,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,10,RU,ru,11.8663002240353,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,10,RU,ru,7.01461299316696,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,10,RU,ru,6.01117731257671,3,0.756885862036653,2.08641975308642,0.928298624474856,0.242442044138908,0.697788269410429,37.2690340562843,0.0328961683541791,0.245077262693157,0.446219544059618,1.16829183651668,0.0998054261085752
58,10,RU,ru,6.007104239773,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,10,RU,ru,18.7111707938145,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,10,RU,ru,6.88863972182909,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,10,RU,ru,6.02277336722367,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,10,RU,ru,5.93360984829756,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
