biome,N,ncom,init,frt,srichness,isimpson
med,10,12,10,6.51041651,1,1.0
med,10,12,11,6.68449211,1,1.0
med,10,12,12,6.66666651,1,1.0
med,10,13,1,6.52741528,1,1.0
med,10,13,2,6.45994854,1,1.0
med,10,13,3,6.41848516,1,1.0
med,10,13,4,6.52741528,1,1.0
med,10,13,5,6.54450274,1,1.0
med,10,13,6,6.54450274,1,1.0
med,10,13,7,6.55308008,1,1.0
med,10,13,8,6.45994854,1,1.0
med,10,13,9,6.62251663,1,1.0
med,10,13,10,6.50195074,1,1.0
med,10,13,11,6.4267354,1,1.0
med,10,13,12,6.45161295,1,1.0
med,10,14,1,28.2485867,2,1.1542908191931716
med,10,14,2,5.01002026,1,1.0
med,10,14,3,5.08647013,1,1.0
med,10,14,4,5.01002026,1,1.0
med,10,14,5,29.9401207,2,1.1219926517191374
med,10,14,6,4.99500513,1,1.0
med,10,14,7,32.4675331,2,1.0653177800525901
med,10,14,8,5.0,1,1.0
med,10,14,9,5.20833349,1,1.0
med,10,14,10,5.03524685,1,1.0
med,10,14,11,4.91642094,1,1.0
med,10,14,12,4.97512436,1,1.0
med,10,15,1,56.8181801,4,3.7022933844126946
med,10,15,2,64.102562,4,3.559948414984467
med,10,15,3,11.9904079,1,1.0
med,10,15,4,56.1797752,4,3.7206448026652033
med,10,15,5,56.1797752,4,3.704119996007852
med,10,15,6,60.9756088,4,3.66661370556077
med,10,15,7,56.8181801,4,3.7101015801182955
med,10,15,8,92.5925903,3,1.5948803644378056
med,10,15,9,56.8181801,4,3.182882646918839
med,10,15,10,52.0833321,4,3.6783157748617348
med,10,15,11,56.1797752,4,3.7180634090283995
med,10,15,12,56.1797752,4,3.678173163258983
med,10,16,1,46.2962952,3,2.137368293176481
med,10,16,2,49.5049515,3,2.1142916156475793
med,10,16,3,50.0,3,2.092737297309403
med,10,16,4,44.6428566,3,2.1560205813637645
med,10,16,5,52.0833321,3,2.05880397002161
med,10,16,6,50.5050507,3,2.09433965275409
med,10,16,7,45.8715591,3,2.17976573765082
med,10,16,8,45.4545441,3,2.1298899951876935
med,10,16,9,42.3728828,3,2.193645581127452
med,10,16,10,45.4545441,3,2.1934383941457716
med,10,16,11,39.6825409,3,2.2613639519519535
med,10,16,12,50.0,3,2.073166004587619
med,10,17,1,7.1225071,1,1.0
med,10,17,2,7.38552427,1,1.0
med,10,17,3,7.25689411,1,1.0
med,10,17,4,7.22543335,1,1.0
med,10,17,5,7.50750732,1,1.0
med,10,17,6,7.19424438,1,1.0
med,10,17,7,7.26744175,1,1.0
med,10,17,8,7.55287027,1,1.0
med,10,17,9,7.36377048,1,1.0
med,10,17,10,7.33137846,1,1.0
med,10,17,11,7.23588991,1,1.0
med,10,17,12,7.33137846,1,1.0
med,10,18,1,121.951218,1,1.0
med,10,18,2,135.135132,1,1.0
med,10,18,3,166.666672,1,1.0
med,10,18,4,161.290329,1,1.0
med,10,18,5,116.279068,1,1.0
med,10,18,6,125.0,1,1.0
med,10,18,7,113.63636,1,1.0
